triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
GCA_30021_11667,11667,0.0,1.3561820691051674,0.33576741875767396,0.664232581242326,0.006155663159230743,0.00967613576782753,-4437.1388072778245,-4381.13782465208,603
20031_20045_Amaapr1,20031,0.0,50.42016238810442,0.9796126636428754,0.020387336357124548,0.0018809042951907359,0.0030550838602040812,-998.0469229219534,-934.440886892321,98
20031_20045_Amaapr1,20045,0.0,14.783587214437832,0.9523616459060559,0.04763835409394409,0.002749400359359643,0.004430898476785714,-1030.5160045962493,-985.1717505180058,112
20031_20045_Amaapr1,Amaapr1,0.0,20.264866501804903,0.9735794151896979,0.026420584810302,0.00604234723130765,0.008747972054674797,-3886.496910372872,-3672.9119580073793,492
20031_20045_30000,20031,0.0,5.522371683840636,0.8341907903931222,0.1658092096068779,0.004447129133278511,0.008128232436842105,-138.69712388505025,-141.92720909792757,19
20031_20045_30000,20045,0.0,12.376994157900908,0.8953049111393543,0.10469508886064574,0.007033614049533024,0.015066559537931037,-196.0580317355462,-181.95880445680933,29
20031_20045_30000,30000,0.0,0.6614512557609968,0.6340942057763881,0.3659057942236119,0.0065793812652046625,0.0076122990381316995,-5057.141168145155,-5058.173421936367,653
20031_20045_30021,20031,0.0,8.31488549326105,0.8035293233880965,0.19647067661190365,0.00295358246603685,0.007576674047619048,-167.85509826007842,-160.0280776982097,21
20031_20045_30021,20045,0.0,15.282163134248808,0.9640754468899054,0.035924553110094716,0.010323891887164783,0.015958186149999998,-180.107306610127,-172.3836627072591,28
20031_20045_30021,30021,0.0,0.42984063342330403,0.4435482693626886,0.5564517306373115,0.007517767629980432,0.008562558101376147,-4930.495761274003,-4912.0629197784065,654
20031_20045_11667,20031,0.0,4.862913507564965,0.6886775441874546,0.3113224558125455,0.0036973107730643314,0.008318978974999999,-144.98173991369012,-148.57289776767072,20
20031_20045_11667,20045,0.0,15.859732612771861,0.8571369128533258,0.14286308714667412,0.003620117778893974,0.011822131014285713,-51.73192254412495,-46.18303777251119,7
